Date,Level
2022/01/01,0.5915479115479120
2022/01/15,0.6222113022113020
2022/01/27,0.647764127764128
2022/02/10,0.6797051597051600
2022/02/24,0.7090909090909090
2022/03/08,0.7397542997543
2022/03/20,0.7716953316953320
2022/04/02,0.8010810810810810
2022/04/17,0.8266339066339070
2022/04/29,0.8470761670761670
2022/05/28,0.8445208845208850
2022/06/08,0.8215233415233420
2022/06/24,0.7921375921375920
2022/07/08,0.753808353808354
2022/07/19,0.7180343980343980
2022/07/30,0.6873710073710080
2022/08/10,0.6541523341523340
2022/08/22,0.6222113022113020
2022/09/11,0.5877149877149880
2022/09/29,0.5634398034398040
2022/10/17,0.5455528255528260
2022/10/29,0.537886977886978
2022/11/28,0.5391646191646190
2022/12/26,0.5813267813267820
2023/1/16,0.6209336609336610
